,k
2741,3.628571429
2749,3.6
2755,0.985714286
2765,3.528571429
2778,3.428571429
2789,3.285714286
2800,3.128571429
2811,2.942857143
2822,2.742857143
2832,2.528571429
2845,2.285714286
2856,2.057142857
2864,3.616296916
2868,0.334589089
2875,3.910422771
2880,0.613087763
2886,4.079252128
2890,0.985070462
2903,2.654527696
2911,4.089298172
2918,1.385935538
2923,4.008511232
2928,0.836333194
2937,3.895911818
2944,1.223664016
2948,3.720524627
2956,1.626342961
2961,3.513743547
2968,0.997767546
2974,3.259522813
2980,0.50913911
2992,0.394586298
2999,2.687456397
3004,0.140086508
3015,2.400865076
3026,2.113715641
3037,1.714524906
3048,1.425840659
3059,3.303030303
3066,3.560606061
3071,0.712121212
3077,3.757575758
3083,1.075757576
3092,3.863636364
3103,3.909090909
3107,0.393939394
3116,3.893939394
3126,3.848484848
3131,0.590909091
3136,3.757575758
3143,1.333333333
3151,3.621212121
3155,0.272727273
3160,3.484848485
3167,1.151515152
3178,3.272727273
3189,3.075757576
3196,2.833333333
3201,0.257575758
3208,2.575757576
3213,0.212121212
3222,2.272727273
3235,2.015151515
3248,3.547945205
3259,3.753424658
3270,3.917808219
3281,4.0
3292,4.02739726
3303,4.0
3314,3.931506849
3325,3.808219178
3336,3.643835616
3347,3.465753425
3358,3.205479452
3369,2.97260274
3380,2.712328767
3391,2.438356164
3402,2.054794521
3413,1.808219178
3424,2.717647059
3435,2.952941176
3446,3.105882353
3457,3.2
3468,3.258823529
3479,3.270588235
3490,3.247058824
3501,3.211764706
3512,3.152941176
3523,3.047058824
3534,2.929411765
3545,2.8
3556,2.623529412
3567,2.423529412
3578,2.211764706
3589,2.023529412
4087,7.161904762
4088,7.862857143
4089,8.441904762
4090,8.746666667
4091,8.746666667
4092,8.472380952
4093,6.765714286
4171,7.527619048
4172,8.624761905
4173,9.081904762
4174,9.660952381
4175,9.660952381
4176,9.539047619
4177,9.203809524
4178,8.655238095
4251,8.140350877
4252,9.263157895
4253,9.929824561
4254,10.24561404
4255,10.03508772
4256,9.929824561
4257,9.578947368
4258,8.736842105
4331,8.965116279
4332,10.18604651
4333,10.46511628
4334,10.25581395
4335,9.976744186
4336,9.279069767
4337,8.581395349
4338,7.325581395
4371,9.545454545
4383,3.084415584
4393,4.825688073
4403,5.229357798
4413,5.467889908
4423,5.614678899
4433,5.633027523
4443,5.52293578
4453,5.229357798
4463,4.825688073
4473,4.311926606
4483,3.52293578
4493,6.085106383
4503,6.425531915
4513,6.914893617
4523,7.319148936
4533,7.553191489
4543,7.680851064
4553,7.659574468
4563,7.468085106
4573,7.0
4583,6.361702128
4593,5.531914894
4603,7.439063599
4613,7.998091028
4623,8.503365819
4633,8.883753642
4643,9.102883553
4653,9.123982719
4663,8.982417362
4673,8.589671456
4683,8.073445192
4693,7.251281021
4703,6.059881443
4713,7.73893066
4723,8.699665831
4733,9.159356725
4743,9.43128655
4753,9.626670844
4763,9.596700084
4773,9.323099415
4783,8.749477861
4793,8.135756057
4803,7.258980785
4813,6.117376775
4823,5.433197348
4828,1.426823049
4834,5.690209077
4844,6.024222336
4854,6.313615502
4864,6.538245793
4874,6.557878633
4884,6.474247833
4894,6.204487506
4904,5.74808771
4914,5.060428353
4924,4.224630291
4934,8.434109302
4944,9.386652013
4954,9.797182536
4964,10.02567689
4974,10.12468778
4984,10.05984614
4994,9.776001599
5004,9.326905785
5014,8.622040164
5024,7.658107703
5034,6.381856329
5661,5.513014085
5672,6.412
5683,7.015492958
5694,7.477746479
5705,7.78484507
5716,7.936450704
5727,7.819887324
5738,7.406873239
5749,6.654985915
5760,5.592112676
5771,4.415943662
5782,5.535631076
5793,6.208350071
5804,6.731742589
5815,7.16086875
5826,7.400819475
5837,7.491604403
5848,7.352722209
5859,6.944163252
5870,6.291529418
5881,5.290163627
5892,4.248788195
5903,6.01015625
5914,6.87265625
5925,7.484517045
5936,7.799573864
5947,8.099715909
5958,8.212713068
5969,8.154616477
5980,7.847230114
5991,7.134446023
6002,6.234730114
6013,5.257670455
6024,3.889992361
6035,4.960830613
6046,5.56496979
6057,6.043544691
6068,6.443850267
6079,6.795888603
6090,7.006458782
6101,7.043197444
6112,6.827835266
6123,6.345301757
6134,5.64261407
6145,4.926661574
6156,6.60292839
6167,7.157722672
6178,7.489375022
6189,7.501895454
6197,3.945257886
6204,3.258442597
6210,2.544012799
6216,2.064132438
6227,6.867647059
6238,7.558823529
6249,7.852941176
6260,7.882352941
6268,4.352941176
6275,3.441176471
6281,2.602941176
6285,0.5
6296,5.037594486
6307,6.018780593
6318,6.477772968
6329,6.813359528
6340,7.025740069
6351,7.00682628
6362,6.818221171
6373,6.321334621
6384,5.669941061
6395,6.465116279
6406,7.007751938
6417,7.255813953
6428,7.224806202
6438,3.84496124
6448,2.976744186
6459,4.472440945
6470,5.669291339
6481,6.346456693
6492,6.881889764
6503,7.25984252
6514,7.559055118
6525,7.732283465
6536,7.653543307
6547,7.291338583
6558,6.645669291
6569,5.779527559
6580,4.866141732
6591,5.239923469
6602,6.410586735
6613,7.027423469
6624,7.510459184
6635,7.919387755
6646,8.164795918
6657,8.232142857
6668,8.003316327
6679,7.463265306
6690,6.655739796
6701,5.744642857
6712,4.876530612
6723,5.804986691
6734,6.765332174
6745,7.324080613
6756,7.565810202
6767,7.891466131
6778,8.176707045
6789,8.160193384
6800,7.800858276
6811,7.084741159
6822,6.178228041
6832,6.991311566
6843,7.613447703
6854,7.918981738
6865,7.908190371
6874,4.522855562
6882,3.622302158
6889,2.707913669
6895,2.080022136
6906,1.710603685
6917,1.898471188
6928,2.054292434
6939,2.172383379
6950,2.258428067
6961,2.325068601
6972,2.367110937
6983,2.383673069
6994,2.387789102
7005,2.366522932
7016,2.346530772
7027,2.281458252
7038,2.204233634
7049,2.127303018
7060,1.995099961
7071,1.874558996
7082,2.31426825
7093,2.533094656
7104,2.667627198
7115,2.766008849
7126,2.840231692
7137,2.84800326
7148,2.886424496
7159,2.864827104
7170,2.84305507
7181,2.785423216
7192,2.698247759
7203,2.604988939
7214,2.488095238
7225,2.353126092
7236,2.177436256
7247,2.013272791
7258,4.504662743
7269,4.742145767
7280,4.729832503
7291,4.566047986
7302,2.392621096
7313,3.01417518
7324,3.298041468
7335,3.504563864
7346,3.626700115
7357,3.692679683
7368,3.680952669
7379,3.655382941
7390,3.580759234
7401,3.485311008
7412,3.361754216
7423,3.182342985
7434,3.010215801
7445,2.796197788
7456,2.57556066
7467,2.306474037
7478,2.093181406
7489,4.274991437
7500,4.393012673
7511,4.314821158
7522,4.130645398
7532,2.106082106
7543,0.986680085
7554,1.177658063
7565,1.313521193
7576,1.456073881
7587,1.555647644
7598,1.643026285
7609,1.712349041
7620,1.788065356
7631,1.821335543
7642,1.854901729
7653,1.864788065
7664,1.837970637
7675,1.817073171
7686,1.777646223
7697,1.704120294
7708,1.629232773
7719,3.618204843
7730,3.934550284
7741,4.124907339
7752,4.172874969
7763,4.179361255
7774,4.100722758
7785,3.981220657
7796,3.820082777
7807,3.637818137
7818,3.379633062
7829,3.116104522
7840,3.281481481
7851,3.548148148
7862,3.733333333
7873,3.844444444
7884,3.888888889
7895,3.874074074
7906,3.822222222
7917,3.733333333
7928,3.622222222
7939,3.466666667
7950,3.244444444
7961,3.051851852
7972,2.814814815
7983,2.57037037
7994,3.557851751
8005,3.779915852
8016,3.959534711
8027,4.041269645
8038,4.066885286
8049,4.029637421
8060,3.943014478
8071,3.828177206
8082,3.657468135
8093,3.465103329
8104,3.20925628
8115,2.953656726
8126,2.690570474
8137,4.783379805
8148,5.083466654
8159,5.118800567
8170,4.98276729
8181,2.805046396
8192,2.685315466
8203,2.941596873
8214,3.091792295
8225,3.194528197
8236,3.237855946
8247,3.251814629
8258,3.235734227
8269,3.183807929
8280,3.119821329
8291,3.025683975
8302,2.871356784
8313,2.723171413
8324,2.568509213
8335,2.365159129
8346,2.11948632
8357,1.945281965
8366,5.153713299
8376,5.424678565
8385,5.476300134
8395,5.373824602
8406,3.176741508
8417,2.395044413
8428,3.187003273
8439,3.564282375
8450,3.812529219
8461,3.996727443
8472,4.083216456
8483,4.136512389
8494,4.090696587
8505,3.978494624
8516,3.767180926
8527,3.49088359
8538,3.150070126
8549,0.989090909
8560,1.796363636
8571,2.310909091
8582,2.715757576
8593,3.047272727
8604,3.378787879
8615,3.711515152
8626,4.008484848
8637,4.269090909
8648,4.530909091
8659,4.755151515
8670,4.944848485
8681,5.061818182
8692,5.178787879
8703,5.26
8714,5.269090909
8725,5.278181818
8736,5.213939394
8747,1.024590164
8758,1.905737705
8769,2.326697892
8780,2.642271663
8791,2.956088993
8802,3.163934426
8813,3.370608899
8824,3.576112412
8835,3.710187354
8846,3.807377049
8857,3.868852459
8868,3.857728337
8879,3.81030445
8890,3.726580796
8901,3.605386417
8912,3.411592506
8923,3.216042155
8934,2.911007026
8945,0.906645615
8956,1.475900675
8967,1.941466915
8978,2.355533228
8989,2.716032726
9000,3.025032295
9011,3.33265394
9022,3.588086694
9033,3.842830487
9044,4.044696426
