,O,sO,aO,C,sC,aC,F,sF,aF,FO,FC,OC,InOr
3136,0.21347499076265164,0.21347499076265164,0.0,0.29525922634124124,0.29525922634124124,0.0,0.02181218007331414,0.0,0.02181218007331414,0.09270450231441159,0.06879264301996309,0.419619879271962,0.022298560285640177
3143,0.21341806054167656,0.21341806054167656,0.0,0.2951804856281466,0.2951804856281466,0.0,0.022073046456512434,0.0,0.022073046456512434,0.09373197458654854,0.06957541595036441,0.419619879271962,0.022571262993142223
3151,0.21290952982481517,0.21290952982481517,0.0,0.2944771321088662,0.2944771321088662,0.0,0.024403242380237628,0.0,0.024403242380237628,0.10283155918448304,0.07652789049603768,0.419619879271962,0.02501365670769148
3155,0.2128313188567591,0.2128313188567591,0.0,0.29436895779843697,0.29436895779843697,0.0,0.024761621673586306,0.0,0.024761621673586306,0.10421867593504425,0.0775908774225036,0.419619879271962,0.02539032735368681
3160,0.2123238167331289,0.2123238167331289,0.0,0.2936670269359305,0.2936670269359305,0.0,0.02708710436431499,0.0,0.02708710436431499,0.11314063803000084,0.08444818545130384,0.419619879271962,0.027841243019619683
3167,0.21226961015577006,0.21226961015577006,0.0,0.29359205331941274,0.29359205331941274,0.0,0.027335490433066524,0.0,0.027335490433066524,0.11408559486375186,0.08517651714603057,0.419619879271962,0.02810371938546139
3178,0.2115779228435916,0.2115779228435916,0.0,0.29263537422583713,0.29263537422583713,0.0,0.030504948839194638,0.0,0.030504948839194638,0.126010355987378,0.09440155456258406,0.419619879271962,0.03146478035413399
3189,0.2108605140617732,0.2108605140617732,0.0,0.2916431195306461,0.2916431195306461,0.0,0.033792268490906975,0.0,0.033792268490906975,0.13812337688671336,0.1038371047978008,0.419619879271962,0.03497412346113995
3196,0.2100331644984124,0.2100331644984124,0.0,0.290498804727685,0.290498804727685,0.0,0.037583360191203834,0.0,0.037583360191203834,0.1517805010724306,0.11455471893906667,0.419619879271962,0.039051029083070024
3201,0.20997461161142106,0.20997461161142106,0.0,0.29041781969027464,0.29041781969027464,0.0,0.037851661975276146,0.0,0.037851661975276146,0.15273466137170671,0.11530667360007707,0.419619879271962,0.03934077571966194
3208,0.20914427862367152,0.20914427862367152,0.0,0.289269378485557,0.289269378485557,0.0,0.041656424360781895,0.0,0.041656424360781895,0.16609373046041298,0.12587844164005707,0.419619879271962,0.04346710868593962
3213,0.20909100028767164,0.20909100028767164,0.0,0.2891956887282141,0.2891956887282141,0.0,0.04190055703016326,0.0,0.04190055703016326,0.16694010538810222,0.12655098801917808,0.419619879271962,0.043732993832334775
3222,0.20806085224553772,0.20806085224553772,0.0,0.2877708814810009,0.2877708814810009,0.0,0.046620914501250436,0.0,0.046620914501250436,0.183055564192007,0.13942003081835463,0.419619879271962,0.04890071033691831
3235,0.20705587119239274,0.20705587119239274,0.0,0.28638088292810665,0.28638088292810665,0.0,0.051225951475049776,0.0,0.051225951475049776,0.19833355265193045,0.15173256656847717,0.419619879271962,0.05399172917375877
3248,0.2227699944293289,0.2227699944293289,0.0,0.30240074681832985,0.30240074681832985,0.0,0.007792919576784809,0.0,0.007792919576784809,0.03379953628005485,0.025122755301065496,0.42418584458854225,0.00785412615021939
3259,0.22245065809239167,0.22245065809239167,0.0,0.3019672613885554,0.3019672613885554,0.0,0.009215228606136926,0.0,0.009215228606136926,0.03977809913001515,0.02961358335520134,0.42418584458854225,0.009300938884206598
3270,0.22199604824354954,0.22199604824354954,0.0,0.3013501479476138,0.3013501479476138,0.0,0.011240039496879907,0.0,0.011240039496879907,0.04819168253837738,0.035957748990044,0.42418584458854225,0.01136781417722511
3281,0.2215432927203322,0.2215432927203322,0.0,0.3007355516744587,0.3007355516744587,0.0,0.013256591308481582,0.0,0.013256591308481582,0.05645910500899047,0.04221950008857971,0.42418584458854225,0.01343468949649294
3292,0.2210473898914892,0.2210473898914892,0.0,0.3000623847779222,0.3000623847779222,0.0,0.015465319190530472,0.0,0.015465319190530472,0.06538895626605543,0.04901414042576984,0.42418584458854225,0.015708252326688096
3303,0.220598491724935,0.220598491724935,0.0,0.29945302470158375,0.29945302470158375,0.0,0.017464690516929508,0.0,0.017464690516929508,0.07336157717654108,0.055107965501037665,0.42418584458854225,0.01777512761970661
3314,0.2200399264307201,0.2200399264307201,0.0,0.29869479618633826,0.29869479618633826,0.0,0.01995251407332195,0.0,0.01995251407332195,0.08313809398086396,0.0626162952923186,0.42418584458854225,0.020358721755666737
3325,0.2194841826172403,0.2194841826172403,0.0,0.2979403977106079,0.2979403977106079,0.0,0.02242777088718797,0.0,0.02242777088718797,0.09271046991391198,0.07000623996245012,0.42418584458854225,0.022942315891626864
3336,0.21888712379922642,0.21888712379922642,0.0,0.29712991588192006,0.29712991588192006,0.0,0.025087042788594728,0.0,0.025087042788594728,0.10282663586664768,0.07785761150532013,0.42418584458854225,0.025732597564763638
3347,0.2181836913686477,0.2181836913686477,0.0,0.2961750364203114,0.2961750364203114,0.0,0.028220097758621047,0.0,0.028220097758621047,0.1145278563230423,0.08699297487938024,0.42418584458854225,0.029039598054592716
3358,0.21737596281538094,0.21737596281538094,0.0,0.2950785794295031,0.2950785794295031,0.0,0.03181768275503996,0.0,0.03181768275503996,0.12768256061348257,0.09733266003842495,0.42418584458854225,0.03286331736111408
3369,0.21659578440804828,0.21659578440804828,0.0,0.29401952058437764,0.29401952058437764,0.0,0.035292560696891094,0.0,0.035292560696891094,0.14011192412331677,0.10717056161309602,0.42418584458854225,0.036583692899047136
3380,0.2157568863650464,0.2157568863650464,0.0,0.29288075234335814,0.29288075234335814,0.0,0.03902897313498399,0.0,0.03902897313498399,0.1531834349503189,0.11758912179730847,0.42418584458854225,0.04061409974274515
3391,0.21479696593976533,0.21479696593976533,0.0,0.29157770139058165,0.29157770139058165,0.0,0.04330441357321086,0.0,0.04330441357321086,0.16778063586844838,0.1293124106609663,0.42418584458854225,0.04526456919797311
3402,0.2134883149146807,0.2134883149146807,0.0,0.28980126355242514,0.28980126355242514,0.0,0.04913308370546232,0.0,0.04913308370546232,0.18708712985162598,0.14496342463656559,0.42418584458854225,0.05167188264045461
3413,0.21240296957716934,0.21240296957716934,0.0,0.28832795364163577,0.28832795364163577,0.0,0.05396716080521633,0.0,0.05396716080521633,0.20260214885108993,0.15766266746876334,0.42418584458854225,0.05704575842330221
3424,0.20404703112530206,0.20404703112530206,0.0,0.29374960685608287,0.29374960685608287,0.0,0.007361705011957073,0.0,0.007361705011957073,0.034822141915542296,0.024448450529096333,0.40990038010849805,0.007416301636887533
3435,0.20363190183487084,0.20363190183487084,0.0,0.29315197960717804,0.29315197960717804,0.0,0.009381206245475157,0.0,0.009381206245475157,0.04404051154418477,0.03100885021600312,0.40990038010849805,0.009470046706785798
3446,0.20321845825809365,0.20321845825809365,0.0,0.29255677914057143,0.29255677914057143,0.0,0.011392506899361382,0.0,0.011392506899361382,0.05308445862028983,0.03748160440773214,0.40990038010849805,0.01152379177668406
3457,0.20276104112088333,0.20276104112088333,0.0,0.29189827358190806,0.29189827358190806,0.0,0.013617728039187345,0.0,0.013617728039187345,0.06293467742721721,0.044572879871857624,0.40990038010849805,0.01380573072559069
3468,0.20230567852155376,0.20230567852155376,0.0,0.2912427257712277,0.2912427257712277,0.0,0.015832954360820436,0.0,0.015832954360820436,0.07258207384731324,0.05156043081631205,0.40990038010849805,0.016087669700967814
3479,0.20187497449793285,0.20187497449793285,0.0,0.29062267686920623,0.29062267686920623,0.0,0.017928222815812116,0.0,0.017928222815812116,0.08156488638434838,0.05810458771669113,0.40990038010849805,0.01825551169713502
3490,0.20142357864552538,0.20142357864552538,0.0,0.2899728396554526,0.2899728396554526,0.0,0.020124151895629508,0.0,0.020124151895629508,0.0908343851976007,0.0648963145207246,0.40990038010849805,0.02053745067251214
3501,0.2008845611219632,0.2008845611219632,0.0,0.2891968607805741,0.2891968607805741,0.0,0.022746338715043682,0.0,0.022746338715043682,0.10171375570917222,0.07291820674989014,0.40990038010849805,0.023275777432376486
3512,0.20034842076373985,0.20034842076373985,0.0,0.288425023922281,0.288425023922281,0.0,0.02535452883732158,0.0,0.02535452883732158,0.11233583292613887,0.08080363622911582,0.40990038010849805,0.02601410419224084
3523,0.1997708222056924,0.1997708222056924,0.0,0.2875935031282201,0.2875935031282201,0.0,0.028164402838848537,0.0,0.028164402838848537,0.12356318701220893,0.08919619210353483,0.40990038010849805,0.028980624831113556
3534,0.1990424949213249,0.1990424949213249,0.0,0.28654499067368633,0.28654499067368633,0.0,0.031707534781326596,0.0,0.031707534781326596,0.1374107505952891,0.09963011208157298,0.40990038010849805,0.03274582413916229
3545,0.1983849724435062,0.1983849724435062,0.0,0.28559841003346287,0.28559841003346287,0.0,0.03490621886753355,0.0,0.03490621886753355,0.1496251044515187,0.10891018637461253,0.40990038010849805,0.03616873256252223
3556,0.19766669704342574,0.19766669704342574,0.0,0.2845643684440096,0.2845643684440096,0.0,0.038400450881278775,0.0,0.038400450881278775,0.16266749193550176,0.11889979522073593,0.40990038010849805,0.03993393187057097
3567,0.19680300286758082,0.19680300286758082,0.0,0.28332097949000645,0.28332097949000645,0.0,0.04260210924098953,0.0,0.04260210924098953,0.17794987277326582,0.13071215484261572,0.40990038010849805,0.04449780979485471
3578,0.19581903879682017,0.19581903879682017,0.0,0.2819044479318043,0.2819044479318043,0.0,0.04738885086689225,0.0,0.04738885086689225,0.19484915120318505,0.1439107659942451,0.40990038010849805,0.04974626940910455
3589,0.19492919073454204,0.19492919073454204,0.0,0.280623407394168,0.280623407394168,0.0,0.05171774140975828,0.0,0.05171774140975828,0.20968329490310025,0.1556164248570693,0.40990038010849805,0.054538341238867166
4087,0.21419435832413664,0.21419435832413664,0.0,0.2656417681996156,0.2656417681996156,0.0,0.02467007675041426,0.0,0.02467007675041426,0.10328066102730862,0.08497785116091497,0.44639064564792386,0.02529408373755105
4088,0.21270571540403024,0.21270571540403024,0.0,0.2637955676712315,0.2637955676712315,0.0,0.030455731986193873,0.0,0.030455731986193873,0.12524901588251647,0.10350245528788211,0.44639064564792386,0.031412420238000095
4089,0.21131054489715342,0.21131054489715342,0.0,0.26206529072422685,0.26206529072422685,0.0,0.035878103892104225,0.0,0.035878103892104225,0.14514462564457134,0.12041919552640301,0.44639064564792386,0.037213244546091165
4090,0.20939493718552263,0.20939493718552263,0.0,0.25968957259758807,0.25968957259758807,0.0,0.043323170561083625,0.0,0.043323170561083625,0.17142883407675172,0.14297474789170034,0.44639064564792386,0.045285063072440394
4091,0.20667296345865424,0.20667296345865424,0.0,0.25631380715047014,0.25631380715047014,0.0,0.053902202867491256,0.0,0.053902202867491256,0.20685855688958965,0.17375699875828568,0.44639064564792386,0.05697318293189283
4092,0.20490872351244663,0.20490872351244663,0.0,0.2541258138601437,0.2541258138601437,0.0,0.06075897418859377,0.0,0.06075897418859377,0.22870290484832181,0.19295620650683692,0.44639064564792386,0.06468943808763503
4093,0.21583709034688628,0.21583709034688628,0.0,0.2676790685403696,0.2676790685403696,0.0,0.018285549608253564,0.0,0.018285549608253564,0.07810244071977511,0.06394339875554148,0.44639064564792386,0.01862613879316622
4171,0.22592464921229832,0.22592464921229832,0.0,0.2711607825266941,0.2711607825266941,0.0,0.017774716617451596,0.0,0.017774716617451596,0.07293706553946938,0.06151793971354156,0.45449863300545473,0.018096374546824667
4172,0.2241205078845768,0.2241205078845768,0.0,0.2689954040435609,0.2689954040435609,0.0,0.02447756536270585,0.0,0.02447756536270585,0.0984624097965466,0.08340654136640618,0.45449863300545473,0.025091750321259165
4173,0.22259413752870935,0.22259413752870935,0.0,0.2671634136805544,0.2671634136805544,0.0,0.030148423552922996,0.0,0.030148423552922996,0.1192851074385745,0.10140337442820213,0.45449863300545473,0.031085605555612704
